i94port,portname,country,addr
RFD,GREATERROCKFORD,UNITED STATES,IL
UGN,MEMORIAL-WAUKEGAN,UNITED STATES,IL
GAR,GARY,UNITED STATES,IN
HMM,HAMMOND,UNITED STATES,IN
INP,INDIANAPOLIS,UNITED STATES,IN
MRL,MERRILLVILLE,UNITED STATES,IN
SBN,SOUTHBEND,UNITED STATES,IN
ICT,MID-CONTINENT-WITCHITA,UNITED STATES,KS
LEX,BLUEGRASS-LEXINGTON,UNITED STATES,KY
LOU,LOUISVILLE,UNITED STATES,KY
BTN,BATONROUGE,UNITED STATES,LA
LKC,LAKECHARLES,UNITED STATES,LA
LAK,LAKECHARLES,UNITED STATES,LA
MLU,MONROE,UNITED STATES,LA
MGC,MORGANCITY,UNITED STATES,LA
NOL,NEWORLEANS,UNITED STATES,LA
BOS,BOSTON,UNITED STATES,MA
GLO,GLOUCESTER,UNITED STATES,MA
BED,HANSCOMFIELD-BEDFORD,UNITED STATES,MA
LYN,LYNDEN,UNITED STATES,WA
ADW,ANDREWSAFB,UNITED STATES,MD
BAL,BALTIMORE,UNITED STATES,MD
MKG,MUSKEGON,UNITED STATES,MD
PAX,PATUXENTRIVER,UNITED STATES,MD
BGM,BANGOR,UNITED STATES,ME
BOO,BOOTHBAYHARBOR,UNITED STATES,ME
BWM,BRIDGEWATER,UNITED STATES,ME
BCK,BUCKPORT,UNITED STATES,ME
CLS,CALAIS,UNITED STATES,ME
CRB,CARIBOU,UNITED STATES,ME
COB,COBURNGORE,UNITED STATES,ME
EST,EASTCOURT,UNITED STATES,ME
EPT,EASTPORTMUNICIPAL,UNITED STATES,ME
EPM,EASTPORT,UNITED STATES,ME
FOR,FORESTCITY,UNITED STATES,ME
FTF,FORTFAIRFIELD,UNITED STATES,ME
FTK,FORTKENT,UNITED STATES,ME
HML,HAMIIN,UNITED STATES,ME
HTM,HOULTON,UNITED STATES,ME
JKM,JACKMAN,UNITED STATES,ME
KAL,KALISPEL,UNITED STATES,MT
LIM,LIMESTONE,UNITED STATES,ME
LUB,LUBEC,UNITED STATES,ME
MAD,MADAWASKA,UNITED STATES,ME
POM,PORTLAND,UNITED STATES,ME
RGM,RANGELEY,UNITED STATES,ME
SBR,SOUTHBREWER,UNITED STATES,ME
SRL,STAURELIE,UNITED STATES,ME
SPA,STPAMPILE,UNITED STATES,ME
VNB,VANBUREN,UNITED STATES,ME
VCB,VANCEBORO,UNITED STATES,ME
AGN,ALGONAC,UNITED STATES,MI
ALP,ALPENA,UNITED STATES,MI
BCY,BAYCITY,UNITED STATES,MI
DET,DETROIT,UNITED STATES,MI
GRP,GRANDRAPIDS,UNITED STATES,MI
GRO,GROSSEISLE,UNITED STATES,MI
ISL,ISLEROYALE,UNITED STATES,MI
MRC,MARINECITY,UNITED STATES,MI
MRY,MARYSVILLE,UNITED STATES,MI
PTK,OAKLANDCOUNTY-PONTIAC,UNITED STATES,MI
